room_id;room_name;area_m2;component_type;component_id;object_type;x_m;y_m;z_m;x_norm;y_norm;z_norm
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;lamp;2cItPlyHHCagf8BrNhpj3G;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;-3.696868334129335;8.249322900135239;2.575;0.1837341444125875;0.29355126106072305;0.9537037037037037
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;lamp;2cItPlyHHCagf8BrNhpj3I;63_LF_Sylvania Start Surface Slim IP54 Square 1900LM 2CCT D opbouw:S21;-1.2370182162570356;11.43182290014209;2.575;0.45946456082815995;0.7999559074138495;0.9537037037037037
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;3QbHax$TTA59iZCPHwZMIH;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;0.9689999999998046;7.988776025135218;0.2750000000000001;0.7067423591661213;0.252092612799132;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;3QbHax$TTA59iZCPHwZMIL;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;0.9689999999998046;10.419978328918587;0.2750000000000001;0.7067423591661213;0.6389495312147402;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;3GvW2Im$P22xEgM773_lMP;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;0.9689999999998046;7.688588525135688;0.2750000000000001;0.7067423591661213;0.20432628294003885;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2l;62_EF_wcd_opbouw_enkelvoudig:wcd opbouw enkelvoudig;8.511304314738486e-05;12.689072900142788;1.8750000000000002;0.5981343983352022;1.0000115999908963;0.6944444444444445
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2x;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;0.6889999999998047;12.022822900141689;1.475;0.6753564970619944;0.8939968016774318;0.5462962962962963
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2D;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;-5.336000000000196;7.988776025135248;0.2750000000000001;-2.1902764246447443e-14;0.2520926127991368;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S29;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;-5.331000000000196;10.419978328918688;0.2750000000000001;0.0005604618232660656;0.6389495312147563;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2L;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;-3.7051245111195255;12.689072900142788;1.175;0.18280869001072544;1.0000115999908963;0.4351851851851852
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2M;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;-4.750000000000195;12.689072900142788;1.175;0.06568612568932942;1.0000115999908963;0.4351851851851852
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2N;62_EF_wcd_perilex_2_fasen:perilex 2 fasen;-3.2426077928905257;12.69332290013609;0.2750000000000001;0.23465328265068508;1.0006878669959567;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2G;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;-2.9500000000001956;12.689072900142788;0.2750000000000001;0.2674523820730023;1.0000115999908963;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2S2H;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;-3.2426077928905257;12.689072900142788;2.2750000000000004;0.23465328265068508;1.0000115999908963;0.8425925925925927
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2STX;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;-2.0541231541337157;7.282822900138458;0.2750000000000001;0.36787333616816476;0.1397601877857466;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2SS5;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;-1.9841250000002555;7.446020487513199;0.2750000000000001;0.3757195947866512;0.16572845692007837;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;socket;0HufO$z_vC9wyd8K0d2SS6;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;-5.342599999999695;7.688588525135718;0.2750000000000001;-0.0007398096067059538;0.20432628294004365;0.10185185185185187
1S$f5UJPL6lvvbafDPKenn;0.10d;10.153865312502061;lamp;2cItPlyHHCagf8BrNhpj3H;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;-0.6254933341287604;7.896522900141768;2.575;0.508255942341366;0.31341921814967716;0.9537037037037037
1S$f5UJPL6lvvbafDPKenn;0.10d;10.153865312502061;socket;0HufO$z_vC9wyd8K0d2S2f;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;0.6889999999998047;6.9638295216798785;0.2750000000000001;0.999999999999927;0.06787666754767159;0.10185185185185187
1S$f5UJPL6lvvbafDPKenn;0.10d;10.153865312502061;socket;0HufO$z_vC9wyd8K0d2S2g;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;0.6889999999998047;8.788829521679878;0.2750000000000001;0.999999999999927;0.548329477867446;0.10185185185185187
1S$f5UJPL6lvvbafDPKenn;0.10d;10.153865312502061;socket;0HufO$z_vC9wyd8K0d2STd;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;-1.9841231541337054;7.756072900138348;0.2750000000000001;6.905275079403168e-07;0.2764440963901947;0.10185185185185187
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;1K7UP3ocH5jAi4C17q_a6d;63_LF_Sylvania Start Pael 600x600 3200LM 840 LILO:S22;14.525249999999906;14.403572900142288;2.375;0.9042890368478615;0.49994533111348594;0.8796296296296295
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;1K7UP3ocH5jAi4C17q_a6X;63_LF_Sylvania Start Pael 600x600 3200LM 840 LILO:S22;10.325249999999905;14.403572900142288;2.375;0.7127531010580038;0.49994533111348594;0.8796296296296295
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;1K7UP3ocH5jAi4C17q_a6Z;63_LF_Sylvania Start Pael 600x600 3200LM 840 LILO:S22;6.125249999999955;14.403572900142288;2.375;0.5212171652681483;0.49994533111348594;0.8796296296296295
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;1K7UP3ocH5jAi4C17q_a6T;63_LF_Sylvania Start Pael 600x600 3200LM 840 LILO:S22;1.9252499999999546;14.403572900142288;2.375;0.3296812294782906;0.49994533111348594;0.8796296296296295
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;1SWMF$5MD9GBRQcRWlYxId;63_LF_Taurac_I1D13501 LED 3W algemeen NV spot:T5;13.325249999999905;14.403572900142288;2.375;0.8495644837650451;0.49994533111348594;0.8796296296296295
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;1SWMF$5MD9GBRQcRWlYxIQ;63_LF_Taurac_I1D13501 LED 3W algemeen NV spot:T5;-2.874750000000055;14.403572900142288;2.375;0.11078301714702414;0.49994533111348594;0.8796296296296295
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;3Ya$$51WnCCBYU2s1sRCH7;63_LF_Taurac_E1D14501 LED 2W vluchtwegarmatuur inbouw pijl boven:T3;-5.097701931350585;14.403572900142288;2.375;0.00940797467390621;0.49994533111348594;0.8796296296296295
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;3GEKy26cjCMefHqTKEBHY7;64_DD_ledige leiding:ledige leiding;1.9092939790988046;16.02357290014229;1.7750000000000001;0.3289535743842943;1.000022503516589;0.6574074074074074
1S$f5UJPL6lvvbafDPKeK_;0.01;71.03575600000657;lamp;3GEKy26cjCMefHqTKEBFK9;64_DD_ledige leiding:ledige leiding;-4.390706020901195;16.02357290014229;1.7750000000000001;0.041649670699507715;1.000022503516589;0.6574074074074074
